index,date,year,weekday,title,performance_type,age_rating,venue,time,ticket_status,premiere,repertoire,season
1,9/12/2018,2018,среда,Борис Годунов,Опера,12+,Историческая сцена,19:00,sold,12/1/2011,TRUE,244
2,9/13/2018,2018,четверг,Борис Годунов,Опера,12+,Историческая сцена,19:00,sold,12/1/2011,TRUE,244
3,9/14/2018,2018,пятница,Борис Годунов,Опера,12+,Историческая сцена,19:00,sold,12/1/2011,TRUE,244
5,9/15/2018,2018,суббота,Царская невеста,Опера,12+,Историческая сцена,19:00,sold,2/22/2014,TRUE,244
7,9/16/2018,2018,воскресенье,Царская невеста,Опера,12+,Историческая сцена,19:00,sold,2/22/2014,TRUE,244
9,9/18/2018,2018,вторник,Лебединое озеро,Балет,12+,Историческая сцена,19:00,sold,3/2/2001,TRUE,244
10,9/19/2018,2018,среда,Лебединое озеро,Балет,12+,Историческая сцена,19:00,sold,3/2/2001,TRUE,244
11,9/20/2018,2018,четверг,Лебединое озеро,Балет,12+,Историческая сцена,19:00,sold,3/2/2001,TRUE,244
12,9/21/2018,2018,пятница,Свадьба Фигаро,Опера,12+,Новая сцена,19:00,sold,4/25/2015,TRUE,244
13,9/22/2018,2018,суббота,Дон Кихот,Балет,6+,Историческая сцена,12:00,sold,2/2/2016,TRUE,244
14,9/22/2018,2018,суббота,Дон Кихот,Балет,6+,Историческая сцена,19:00,sold,2/2/2016,TRUE,244
15,9/22/2018,2018,суббота,Свадьба Фигаро,Опера,12+,Новая сцена,19:00,sold,4/25/2015,TRUE,244
17,9/23/2018,2018,воскресенье,Дон Кихот,Балет,6+,Историческая сцена,19:00,sold,2/2/2016,TRUE,244
18,9/23/2018,2018,воскресенье,Свадьба Фигаро,Опера,12+,Новая сцена,19:00,sold,4/25/2015,TRUE,244
20,9/25/2018,2018,вторник,Лебединое озеро,Балет,12+,Историческая сцена,19:00,sold,3/2/2001,TRUE,244
22,9/26/2018,2018,среда,Лебединое озеро,Балет,12+,Историческая сцена,19:00,sold,3/2/2001,TRUE,244
25,9/29/2018,2018,суббота,Забытая земля,Балет,16+,Новая сцена,12:00,sold,11/2/2017,TRUE,244
27,9/29/2018,2018,суббота,Забытая земля,Балет,16+,Новая сцена,19:00,sold,11/2/2017,TRUE,244
32,9/30/2018,2018,воскресенье,Забытая земля,Балет,16+,Новая сцена,19:00,sold,11/2/2017,TRUE,244
34,10/3/2018,2018,среда,Онегин,Балет,12+,Новая сцена,19:00,sold,7/12/2013,TRUE,244
36,10/4/2018,2018,четверг,Онегин,Балет,12+,Новая сцена,19:00,sold,7/12/2013,TRUE,244
37,10/5/2018,2018,пятница,Онегин,Балет,12+,Новая сцена,19:00,sold,7/12/2013,TRUE,244
40,10/6/2018,2018,суббота,Онегин,Балет,12+,Новая сцена,12:00,sold,7/12/2013,TRUE,244
41,10/6/2018,2018,суббота,Онегин,Балет,12+,Новая сцена,19:00,sold,7/12/2013,TRUE,244
45,10/9/2018,2018,вторник,Жизель,Балет,12+ ,Историческая сцена,19:00,sold,5/2/1987,TRUE,244
47,10/10/2018,2018,среда,Жизель,Балет,12+ ,Историческая сцена,19:00,sold,5/2/1987,TRUE,244
49,10/12/2018,2018,пятница,Анна Каренина ,Балет,16+ ,Историческая сцена,19:00,sold,3/23/2018,TRUE,244
51,10/13/2018,2018,суббота,Анна Каренина ,Балет,16+ ,Историческая сцена,19:00,sold,3/23/2018,TRUE,244
55,10/16/2018,2018,вторник,Драгоценности,Балет,6+,Историческая сцена,19:00,sold,5/5/2012,TRUE,244
